Product Name,Category,Review
Black+Decker EM031MB11 Digital Microwave Oven.csv,Home Appliances,"['bad issue', 'wrong information']"
Frigidaire EFR751.csv,Home Appliances,"['real problem', 'only complaint', 'lower areas', 'worse shape', 'cosmetic damage']"
Galanz GLR18FS5S16 French Door Refrigerator.csv,Home Appliances,"['wrong handles', 'visible problem']"
"LG 6,000 BTU High Efficiency Window AC.csv",Home Appliances,"['only fear', 'low end', 'low level', 'rainy days', 'lowest setting', 'lower degrees', 'bad sound']"
Ninja AF101 Air Fryer.csv,Home Appliances,"['lazy cook', 'greasy mess', 'dead nettle', 'dangerous machines', 'first mistake', 'second mistake', 'third mistake', 'most pain', 'worse kicks', 'real pain', 'bad sense', 'wrong burner']"
Ninja CP307 Hot and Cold Brewed System.csv,Home Appliances,"['awful taste', 'loose measurements', 'loose teas', 'loose tea', 'other problem', 'lower temperature', 'lower temperatures', 'low cabinets', 'only problem', 'hard way', 'hard water', 'rebellious grounds', 'chilling confines', 'limited system', 'uncertain terms', 'wrong size']"
Panasonic Microwave Oven NN-SN966S.csv,Home Appliances,"['scary reviews', 'bad reviews', 'lower temperature']"
Philips 3000 Series Air Fryer.csv,Home Appliances,"['only complaint', 'vile odor', 'aggressive email', 'unacceptable service']"
SAMSUNG 65-Inch Class QLED 4K UHD.csv,Home Appliances,"['bad sound', 'dead pixels', 'dead spots', 'dead thing', 'Real pain', 'visible defects', 'second lag', 'previous problem', 'low price', 'crappy system', 'costly mistake', 'aggravating process', 'old screws', 'longer screws', 'defective product', 'defective screen']"
TOSHIBA Microwave Oven EM131A5C.csv,Home Appliances,"['miserable experience', 'dead buttons', 'dreadful thought', 'whole fiasco', 'poor visibility', 'poor condition', 'lower left', 'low plug', 'odd noise', 'bad sign', 'only problems', 'tiny annoyances', 'minor problem', 'shattered glass', 'weird operation', 'similar problems']"
Apple iPhone 11 Pro.csv,Mobiles,"['generic block', 'common mistake', 'only problem', 'unfortunate thing', 'Bad life']"
Asus ROG Phone 3 ZS661KS.csv,Mobiles,"['major disappointment', 'hard case']"
OnePlus 11 5G.csv,Mobiles,"['only regret', 'only problem', 'low conditions', 'negative aspects']"
SAMSUNG Galaxy A53 5G.csv,Mobiles,"['wrong phone', 'limited testing', 'worse effect', 'biggest disappointment', 'biggest complaint', 'hard users', 'low price', 'earlier failure', 'serious gamer']"
SAMSUNG Galaxy S20 FE 5G.csv,Mobiles,"['hard type', 'hard drive', 'only problem', 'low spectrum', 'low settings', 'single drop', 'accidental calls', 'accidental protection', 'horrendous ghosting', 'bloody gash', 'genuine worry', 'massive cut', 'angry review', 'lower conditions', 'lower price', 'worst thing', 'odd things', 'limited selection', 'dead phone', 'lame move', 'poor signal', 'critical feature']"
SAMSUNG Galaxy S22 Ultra.csv,Mobiles,"['terrible placement', 'terrible choices', 'terrible choice', 'broken features', 'poor choice', 'poor design', 'poor coding', 'crappy display', 'BAD sound', 'annoying kid', 'more waste', 'weird statement', 'biggest problem', 'inferior reader', 'Terrible phone', 'little bias']"
Xiaomi Mi Lite 5G NE.csv,Mobiles,"['same failure', 'insane cameras']"
Xiaomi Redmi Note 8 Pro.csv,Mobiles,"['tough critic', 'anti system', 'only problems', 'real problem']"
Apple iPhone 12.csv,Mobiles,"['only downside', 'worst thing']"
Apple iPhone 13.csv,Mobiles,"['bad battery', 'cosmetic complaint']"
